Title,Author,Category,Summary,ISBN
The Great Gatsby,F. Scott Fitzgerald,Fiction,A story about the American Dream and the moral decay of society in the 1920s.,978-0743273565
1984,George Orwell,Dystopian,A dystopian novel about totalitarianism and surveillance.,978-0451524935
To Kill a Mockingbird,Harper Lee,Fiction,A novel about racial injustice and moral growth in the Deep South.,978-0061120084
Sapiens,Yuval Noah Harari,Non-Fiction,An exploration of human history from the Stone Age to the present.,978-0062316097
The Catcher in the Rye,J.D. Salinger,Fiction,A story about teenage alienation and loss of innocence.,978-0316769488
Pride and Prejudice,Jane Austen,Fiction,A romantic novel that critiques the British landed gentry of the early 19th century.,978-1503290563
Moby-Dick,Herman Melville,Fiction,The narrative of Captain Ahab's obsessive quest for revenge against the white whale.,978-1503280786
War and Peace,Leo Tolstoy,Historical Fiction,A story of Russian society during the Napoleonic Era.,978-1420954308
The Odyssey,Homer,Classic,An epic poem that follows Odysseus' journey home after the Trojan War.,978-0143039952
The Hobbit,J.R.R. Tolkien,Fantasy,"A fantasy adventure of Bilbo Baggins, a hobbit who embarks on an epic quest.",978-0547928227
Fahrenheit 451,Ray Bradbury,Dystopian,"A novel set in a future where books are banned and ""firemen"" burn them.",978-1451673319
The Alchemist,Paulo Coelho,Fiction,A philosophical story about a shepherd's journey to find treasure.,978-0062315007
Brave New World,Aldous Huxley,Dystopian,A novel that explores a technologically advanced future society.,978-0060850524
The Grapes of Wrath,John Steinbeck,Fiction,A portrayal of the struggles of a family during the Great Depression.,978-0143039433
Animal Farm,George Orwell,Satire,A political allegory about a group of farm animals.,978-0451526342
The Picture of Dorian Gray,Oscar Wilde,Fiction,A tale of vanity and moral corruption through a magical portrait.,978-0141439570
Les Misérables,Victor Hugo,Historical Fiction,A story of redemption and the struggles against societal injustice.,978-0451470087
The Bell Jar,Sylvia Plath,Fiction,A semi-autobiographical novel about a young woman's descent into mental illness.,978-0060834029
The Kite Runner,Khaled Hosseini,Fiction,A story of friendship and redemption set against the backdrop of Afghanistan.,978-1594631931
A Tale of Two Cities,Charles Dickens,Historical Fiction,A story of resurrection and sacrifice during the French Revolution.,978-1503219705
The Road,Cormac McCarthy,Post-Apocalyptic,A harrowing journey of a father and son through a burnt America.,978-0307387899
The Fault in Our Stars,John Green,Young Adult,A love story between two teenagers with cancer.,978-0142424179
The Secret Garden,Frances Hodgson Burnett,Children's Fiction,A story about a neglected garden and the healing it brings.,978-1503280298
The Chronicles of Narnia,C.S. Lewis,Fantasy,A series of seven fantasy novels set in the magical land of Narnia.,978-0066238500
The Count of Monte Cristo,Alexandre Dumas,Adventure,A tale of an innocent man imprisoned unjustly who seeks revenge.,978-1593080300
The Little Prince,Antoine de Saint-Exupéry,Children's Fiction,A philosophical tale about a young prince exploring love and loss.,978-0156012195
The Fault in Our Stars,John Green,Young Adult,A poignant story about love and loss among teenagers with cancer.,978-0142424179
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non-Fiction,The story of Henrietta Lacks and the immortal cell line derived from her cancer cells.,978-1400052189
The Art of War,Sun Tzu,Philosophy,Ancient Chinese military treatise on strategy and tactics.,978-1590302255
The Shining,Stephen King,Horror,A chilling story of a haunted hotel and a man's descent into madness.,978-0307743657
The Road Less Traveled,M. Scott Peck,Self-Help,A guide to personal growth and understanding of love.,978-0743243155
The Time Traveler's Wife,Audrey Niffenegger,Fiction,A love story that transcends time and space.,978-0151010343
The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,A gripping thriller about a journalist and a hacker uncovering dark secrets.,978-0307454546
The Giving Tree,Shel Silverstein,Children's Fiction,A poignant story about selflessness and giving.,978-0060256654
The Hunger Games,Suzanne Collins,Young Adult,A dystopian novel about survival and rebellion in a totalitarian society.,978-0439023528
The Da Vinci Code,Dan Brown,Mystery,A fast-paced thriller involving a historical mystery.,978-0307474277
The Perks of Being a Wallflower,Stephen Chbosky,Young Adult,A coming-of-age story conveyed through letters.,978-0671027346
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,A comedic science fiction adventure through space.,978-0345391803
The Outsiders,S.E. Hinton,Young Adult,A story about teenage rebellion and class conflict.,978-0142407332
The Woman in White,Wilkie Collins,Mystery,A mystery novel involving mistaken identities and dark secrets.,978-1515430585
The Memory Keeper's Daughter,Kim Edwards,Fiction,A story about family secrets and choices that impact lives.,978-0143038016
The Glass Castle,Jeannette Walls,Memoir,A memoir about growing up in a dysfunctional family.,978-0743247543
The Silent Patient,Alex Michaelides,Thriller,A psychological thriller about a woman's act of violence.,978-1250219650
活着,余华,小说,讲述一个人在苦难中坚持生存的故事。,978-7506365437
追风筝的人,卡勒德·胡赛尼,小说,描述阿富汗友谊与背叛的动人故事。,978-7544264262
小王子,安东尼·德·圣埃克苏佩里,儿童文学,一个关于爱与孤独的哲学故事。,978-7544261841
红楼梦,曹雪芹,古典文学,描绘贾宝玉与林黛玉悲剧的爱情故事。,978-7020076724
三体,刘慈欣,科幻,讲述人类与外星文明的首次接触。,978-7506365437
解忧杂货店,东野圭吾,小说,关于一家能解决人们烦恼的杂货店的故事。,978-7506365437
盗墓笔记,南派三叔,冒险,一部关于古墓探险的悬疑小说。,978-7544262157
亲爱的安德烈,龙应台,纪实,关于母子之间的沟通与理解的书信集。,978-9862370540
这就是你的命,纪伯伦,诗歌,探讨生命与存在的哲学诗作。,978-7506365437
平凡的世界,路遥,小说,描述中国农村青年的成长与奋斗。,978-7506365437
繁花,余华,小说,通过不同人物展现社会的复杂与多样。,978-7530211564
向左走·向右走,东野圭吾,小说,描述平行世界中两个人的爱情故事。,978-7506365437
许三观卖血记,余华,小说,通过卖血的经历讲述家庭与命运的故事。,978-7530211564
大卫·科波菲尔,查尔斯·狄更斯,小说,讲述一个孤儿的成长与奋斗过程。,978-7020060563
白夜行,东野圭吾,悬疑,一部关于爱与罪的复杂故事。,978-7544262157
你的名字,新海诚,小说,描述青少年之间奇幻的时间交错与爱。,978-7530211564
天龙八部,金庸,武侠,描绘复杂的人物关系和武侠世界的传奇。,978-7530211564
人间失格,太宰治,小说,讲述一个人在社会中的孤独与绝望。,978-7544262157
反脆弱,纳西姆·尼古拉斯·塔勒布,非虚构,探讨如何在不确定性中获得成长与成功。,978-7506365437
自控力,凯利·麦格尼格尔,自助,讨论如何提高自控力与意志力的方法。,978-7506365437
习惯的力量,查尔斯·杜希格,自助,探索习惯形成的机制及其影响。,978-7506365437
